"","site_id","year","point_estimate","lower_CI","upper_CI","quantile"
"1","2001",2004,58.922321769361,50.7395648553956,67.2221339425247,0.4085
"2","2001",2005,58.7878657588235,49.7844831630572,68.1496495641965,0.2515
"3","2001",2006,58.6820760679636,48.2785140139098,68.4323869628805,0.75425
"4","2001",2007,58.5351961660055,47.7559736985727,69.5996895202996,0.60725
"5","2001",2008,58.400279640259,46.8587701902261,69.6601961057982,0.54225
"6","2001",2009,58.3576023681094,46.6029103724386,70.1881921050279,0.2665
"7","2001",2010,58.2649908166032,45.5334113484292,70.9281500053664,0.40725
"8","2001",2011,58.210376983426,44.172620256986,71.6554185054813,0.8225
"9","2001",2012,58.1690520941891,44.0112181272934,71.7054679266484,0.304
"10","2001",2013,58.0108471470388,43.4370416423784,72.1910142872991,0.885
"11","2007",2004,45.97810633733,38.5539920960875,53.822330582032,0.4045
"12","2007",2005,46.0189943939874,37.4030689119402,54.327720640473,NA
"13","2007",2006,46.107973689062,36.1980553758897,55.9881620177701,0.663
"14","2007",2007,46.1680772832972,35.1034710950314,56.5350704198488,0.719
"15","2007",2008,46.2126609837255,34.7461424057924,57.0814990381155,0.987
"16","2007",2009,46.3438372595029,34.2908305176847,58.679792519188,0.9645
"17","2007",2010,46.3990959104656,34.0789243821857,59.2553128960164,0.97325
"18","2007",2011,46.44722391684,33.4966964473984,59.736260438423,0.99125
"19","2007",2012,46.5253637477717,32.6539043251834,60.959810668019,NA
"20","2007",2013,46.5469079683874,32.1506761141866,60.8588491718846,0.95075
"21","2010",2004,56.7593753235542,48.922033476871,64.1729806710115,NA
"22","2010",2005,56.7520031778222,47.8016132584827,65.4574512415834,0.788
"23","2010",2006,56.6915949057538,47.2373119794093,66.0457645416612,0.69825
"24","2010",2007,56.7423299527067,46.1586510314014,67.0205892509748,0.62
"25","2010",2008,56.6714233672706,45.7763638901212,68.063213021547,0.6095
"26","2010",2009,56.6219881683642,44.8879301716481,68.5015980586954,0.61125
"27","2010",2010,56.533619274397,44.0792692946875,68.2297388514183,0.746
"28","2010",2011,56.5127924265385,43.8180095039552,69.0603958989577,0.78875
"29","2010",2012,56.4933339822425,43.1082342766189,69.8843664688123,0.8625
"30","2010",2013,56.4961770184474,42.1554372094745,69.8063116552079,0.73
"31","2014",2004,60.148643167013,52.3636979026446,68.0352648442994,0.7795
"32","2014",2005,60.0921437393,51.3228357405277,68.6218125681767,0.7625
"33","2014",2006,59.9670830747917,50.5525825313615,69.7649824147091,NA
"34","2014",2007,59.8790785708062,49.4295316313877,70.4871506416594,NA
"35","2014",2008,59.7519860743456,48.0018381242516,71.0567409903396,0.23425
"36","2014",2009,59.5939723070454,47.4067465963519,71.5203815390045,0.30525
"37","2014",2010,59.4780846143057,46.9904820267519,72.0485774834289,0.46375
"38","2014",2011,59.3940526996024,46.002092299031,72.9659235817782,0.174
"39","2014",2012,59.2081137179453,44.7647029081457,72.7649873547687,0.41
"40","2014",2013,59.0671411781584,43.9077052493399,73.4835284888701,0.29825
"41","2015",2004,61.1489771794811,53.1006440701254,68.8588609169856,NA
"42","2015",2005,61.0864403833257,52.3946911046272,69.7678721956332,0.59475
"43","2015",2006,60.972692111373,51.194177560738,70.6319530668298,NA
"44","2015",2007,60.8290053907595,49.9576670425271,71.3393672168601,NA
"45","2015",2008,60.6999671459521,49.4302604672814,72.1750154267611,NA
"46","2015",2009,60.5841680935876,48.208153708588,72.558750773002,NA
"47","2015",2010,60.4504710510123,47.2563360680839,73.4646888019372,NA
"48","2015",2011,60.3303381051765,46.4557700247237,74.1395664968082,NA
"49","2015",2012,60.2181767829981,45.6248146827131,74.9794831819856,0.20325
"50","2015",2013,60.0202170021015,44.6313696649234,75.6713471992044,0.21575
"51","2017",2004,56.0450365094042,48.361868506926,63.7899210706894,0.3805
"52","2017",2005,55.9623380620388,47.4664983416304,64.7578186038442,0.601
"53","2017",2006,55.9037271483105,46.6983224422738,65.3720825130037,0.81875
"54","2017",2007,55.8073720774302,45.6193390766952,66.3138989153837,0.9265
"55","2017",2008,55.7893999375999,44.7114411546541,66.7685226470737,0.67575
