Model,Response variable,Site id,Time,Environment
Average baseline,richness,\checkmark, , 
Naive baseline,richness,\checkmark,\checkmark, 
Auto-ARIMA,richness,\checkmark,\checkmark, 
GBM richness,richness, , ,\checkmark
Stacked SDMs,species-level presence, , ,\checkmark
Mistnet JSDM,species composition, , ,\checkmark
